Year,Month,Date,Series Code,Industry Title,Seasonally Adjusted,Current Employment
2021,January,01/01/2021,6000000,Goods Producing,N,134000
2021,January,01/01/2021,65620000,Health Care and Social Assistance,N,108600
2021,January,01/01/2021,65000000,Educational and Health Services,N,121700
2021,January,01/01/2021,60560000,Administrative and Support and Waste Ser,N,38100
2021,January,01/01/2021,50000000,Information,N,19200
2021,January,01/01/2021,42000000,Retail Trade,N,63400
2021,January,01/01/2021,80000000,Other Services,N,20100
2021,January,01/01/2021,70710000,"Arts, Entertainment, and Recreation",N,4900
2021,January,01/01/2021,70000000,Leisure and Hospitality,N,43300
2021,January,01/01/2021,32000000,Nondurable Goods,N,20300
2021,January,01/01/2021,11000000,Total Farm,N,700
2021,January,01/01/2021,55000000,Financial Activities,N,26400
2021,January,01/01/2021,90930000,Local Government,N,71300
2021,January,01/01/2021,90910000,Federal Government,N,8700
2021,January,01/01/2021,7000000,Service Providing,N,605600
2021,January,01/01/2021,15000000,"Natural Resources, Mining and Constructi",N,46100
2021,January,01/01/2021,1000000,Total Wage and Salary,N,740300
2021,January,01/01/2021,65610000,Educational Services,N,13100
2021,January,01/01/2021,60540000,"Professional, Scientific and Technical S",N,74300
2021,January,01/01/2021,60000000,Professional and Business Services,N,128800
2021,January,01/01/2021,55530000,Real Estate and Rental and Leasing,N,9600
2021,January,01/01/2021,90000000,Government,N,114600
2021,January,01/01/2021,40000000,"Trade, Transportation and Utilities",N,131500
2021,January,01/01/2021,70720000,Accommodation and Food Service,N,38400
2021,January,01/01/2021,31000000,Durable Goods,N,67600
2021,January,01/01/2021,0,Total Nonfarm,N,739600
2021,January,01/01/2021,60550000,Management of Companies and Enterprises,N,16400
2021,January,01/01/2021,55520000,Finance and Insurance,N,16800
2021,January,01/01/2021,43000000,"Transportation, Warehousing and Utilitie",N,35200
2021,January,01/01/2021,90920000,State Government,N,34600
2021,January,01/01/2021,41000000,Wholesale Trade,N,32900
2021,January,01/01/2021,30000000,Manufacturing,N,87900
2021,February,02/01/2021,32000000,Nondurable Goods,N,20600
2021,February,02/01/2021,70000000,Leisure and Hospitality,N,47300
2021,February,02/01/2021,42000000,Retail Trade,N,63200
2021,February,02/01/2021,70710000,"Arts, Entertainment, and Recreation",N,5400
2021,February,02/01/2021,80000000,Other Services,N,21600
2021,February,02/01/2021,50000000,Information,N,19100
2021,February,02/01/2021,60560000,Administrative and Support and Waste Ser,N,39000
2021,February,02/01/2021,65000000,Educational and Health Services,N,122800
2021,February,02/01/2021,65620000,Health Care and Social Assistance,N,109100
2021,February,02/01/2021,6000000,Goods Producing,N,136500
2021,February,02/01/2021,15000000,"Natural Resources, Mining and Constructi",N,46700
2021,February,02/01/2021,7000000,Service Providing,N,614700
2021,February,02/01/2021,90910000,Federal Government,N,8700
2021,February,02/01/2021,90930000,Local Government,N,71500
2021,February,02/01/2021,55000000,Financial Activities,N,26400
2021,February,02/01/2021,11000000,Total Farm,N,800
2021,February,02/01/2021,40000000,"Trade, Transportation and Utilities",N,130900
2021,February,02/01/2021,90000000,Government,N,116500
2021,February,02/01/2021,31000000,Durable Goods,N,69200
2021,February,02/01/2021,70720000,Accommodation and Food Service,N,41900
2021,February,02/01/2021,55530000,Real Estate and Rental and Leasing,N,9600
2021,February,02/01/2021,60000000,Professional and Business Services,N,130100
2021,February,02/01/2021,60540000,"Professional, Scientific and Technical S",N,74700
2021,February,02/01/2021,65610000,Educational Services,N,13700
2021,February,02/01/2021,1000000,Total Wage and Salary,N,752000
2021,February,02/01/2021,90920000,State Government,N,36300
2021,February,02/01/2021,41000000,Wholesale Trade,N,32800
2021,February,02/01/2021,30000000,Manufacturing,N,89800
2021,February,02/01/2021,55520000,Finance and Insurance,N,16800
2021,February,02/01/2021,43000000,"Transportation, Warehousing and Utilitie",N,34900
2021,February,02/01/2021,60550000,Management of Companies and Enterprises,N,16400
2021,February,02/01/2021,0,Total Nonfarm,N,751200
2021,March,03/01/2021,70000000,Leisure and Hospitality,N,49700
2021,March,03/01/2021,32000000,Nondurable Goods,N,20800
2021,March,03/01/2021,42000000,Retail Trade,N,63300
2021,March,03/01/2021,80000000,Other Services,N,22000
2021,March,03/01/2021,70710000,"Arts, Entertainment, and Recreation",N,5800
2021,March,03/01/2021,50000000,Information,N,19200
2021,March,03/01/2021,60560000,Administrative and Support and Waste Ser,N,39000
2021,March,03/01/2021,65620000,Health Care and Social Assistance,N,109700
2021,March,03/01/2021,65000000,Educational and Health Services,N,123500
2021,March,03/01/2021,6000000,Goods Producing,N,138500
