Area Type,Area Name,Year,Month,Date,Series Code,Industry Title,Seasonally Adjusted,Current Employment
County,San Benito County,2021,January,01/01/2021,50000000,Information,N,100
County,San Benito County,2021,January,01/01/2021,32000000,Nondurable Goods,N,1900
County,San Benito County,2021,January,01/01/2021,65000000,Educational and Health Services,N,1500
County,San Benito County,2021,January,01/01/2021,60560000,Administrative and Support and Waste Ser,N,900
County,San Benito County,2021,January,01/01/2021,42000000,Retail Trade,N,1300
County,San Benito County,2021,January,01/01/2021,80000000,Other Services,N,400
County,San Benito County,2021,January,01/01/2021,70000000,Leisure and Hospitality,N,1300
County,San Benito County,2021,January,01/01/2021,65620000,Health Care and Social Assistance,N,1400
County,San Benito County,2021,January,01/01/2021,6000000,Goods Producing,N,4300
County,San Benito County,2021,January,01/01/2021,11000000,Total Farm,N,1600
County,San Benito County,2021,January,01/01/2021,7000000,Service Providing,N,10000
County,San Benito County,2021,January,01/01/2021,90910000,Federal Government,N,100
County,San Benito County,2021,January,01/01/2021,55000000,Financial Activities,N,300
County,San Benito County,2021,January,01/01/2021,90930000,Local Government,N,2700
County,San Benito County,2021,January,01/01/2021,60540000,"Professional, Scientific and Technical S",N,300
County,San Benito County,2021,January,01/01/2021,60000000,Professional and Business Services,N,1200
County,San Benito County,2021,January,01/01/2021,55530000,Real Estate and Rental and Leasing,N,100
County,San Benito County,2021,January,01/01/2021,65610000,Educational Services,N,100
County,San Benito County,2021,January,01/01/2021,40000000,"Trade, Transportation and Utilities",N,2200
County,San Benito County,2021,January,01/01/2021,31000000,Durable Goods,N,900
County,San Benito County,2021,January,01/01/2021,20000000,Construction,N,1500
County,San Benito County,2021,January,01/01/2021,1000000,Total Wage and Salary,N,15900
County,San Benito County,2021,January,01/01/2021,90000000,Government,N,3000
County,San Benito County,2021,January,01/01/2021,90920000,State Government,N,200
County,San Benito County,2021,January,01/01/2021,43000000,"Transportation, Warehousing and Utilitie",N,500
County,San Benito County,2021,January,01/01/2021,55520000,Finance and Insurance,N,200
County,San Benito County,2021,January,01/01/2021,10000000,Mining and Logging,N,0
County,San Benito County,2021,January,01/01/2021,0,Total Nonfarm,N,14300
County,San Benito County,2021,January,01/01/2021,60550000,Management of Companies and Enterprises,N,0
County,San Benito County,2021,January,01/01/2021,41000000,Wholesale Trade,N,400
County,San Benito County,2021,January,01/01/2021,30000000,Manufacturing,N,2800
County,San Benito County,2021,February,02/01/2021,50000000,Information,N,100
County,San Benito County,2021,February,02/01/2021,32000000,Nondurable Goods,N,1900
County,San Benito County,2021,February,02/01/2021,42000000,Retail Trade,N,1300
County,San Benito County,2021,February,02/01/2021,60560000,Administrative and Support and Waste Ser,N,1000
County,San Benito County,2021,February,02/01/2021,65000000,Educational and Health Services,N,1500
County,San Benito County,2021,February,02/01/2021,6000000,Goods Producing,N,4300
County,San Benito County,2021,February,02/01/2021,65620000,Health Care and Social Assistance,N,1400
County,San Benito County,2021,February,02/01/2021,70000000,Leisure and Hospitality,N,1400
County,San Benito County,2021,February,02/01/2021,80000000,Other Services,N,400
County,San Benito County,2021,February,02/01/2021,11000000,Total Farm,N,1600
County,San Benito County,2021,February,02/01/2021,90910000,Federal Government,N,100
County,San Benito County,2021,February,02/01/2021,7000000,Service Providing,N,10200
County,San Benito County,2021,February,02/01/2021,90930000,Local Government,N,2700
County,San Benito County,2021,February,02/01/2021,55000000,Financial Activities,N,300
County,San Benito County,2021,February,02/01/2021,60000000,Professional and Business Services,N,1300
County,San Benito County,2021,February,02/01/2021,60540000,"Professional, Scientific and Technical S",N,300
County,San Benito County,2021,February,02/01/2021,55530000,Real Estate and Rental and Leasing,N,100
County,San Benito County,2021,February,02/01/2021,65610000,Educational Services,N,100
County,San Benito County,2021,February,02/01/2021,31000000,Durable Goods,N,900
County,San Benito County,2021,February,02/01/2021,40000000,"Trade, Transportation and Utilities",N,2200
County,San Benito County,2021,February,02/01/2021,20000000,Construction,N,1500
County,San Benito County,2021,February,02/01/2021,1000000,Total Wage and Salary,N,16100
County,San Benito County,2021,February,02/01/2021,90000000,Government,N,3000
County,San Benito County,2021,February,02/01/2021,90920000,State Government,N,200
County,San Benito County,2021,February,02/01/2021,43000000,"Transportation, Warehousing and Utilitie",N,500
County,San Benito County,2021,February,02/01/2021,10000000,Mining and Logging,N,0
County,San Benito County,2021,February,02/01/2021,55520000,Finance and Insurance,N,200
