Area Type,Area Name,Year,Month,Date,Series Code,Industry Title,Seasonally Adjusted,Current Employment
County,Santa Clara County,2021,January,01/01/2021,80000000,Other Services,N,18100
County,Santa Clara County,2021,January,01/01/2021,70000000,Leisure and Hospitality,N,54800
County,Santa Clara County,2021,January,01/01/2021,50000000,Information,N,105500
County,Santa Clara County,2021,January,01/01/2021,42000000,Retail Trade,N,73000
County,Santa Clara County,2021,January,01/01/2021,32000000,Nondurable Goods,N,9500
County,Santa Clara County,2021,January,01/01/2021,65620000,Health Care and Social Assistance,N,129400
County,Santa Clara County,2021,January,01/01/2021,60560000,Administrative and Support and Waste Ser,N,57300
County,Santa Clara County,2021,January,01/01/2021,65000000,Educational and Health Services,N,171500
County,Santa Clara County,2021,January,01/01/2021,6000000,Goods Producing,N,211800
County,Santa Clara County,2021,January,01/01/2021,90910000,Federal Government,N,10400
County,Santa Clara County,2021,January,01/01/2021,90930000,Local Government,N,71700
County,Santa Clara County,2021,January,01/01/2021,55000000,Financial Activities,N,37500
County,Santa Clara County,2021,January,01/01/2021,7000000,Service Providing,N,828300
County,Santa Clara County,2021,January,01/01/2021,11000000,Total Farm,N,2800
County,Santa Clara County,2021,January,01/01/2021,40000000,"Trade, Transportation and Utilities",N,116700
County,Santa Clara County,2021,January,01/01/2021,31000000,Durable Goods,N,153600
County,Santa Clara County,2021,January,01/01/2021,90000000,Government,N,88600
County,Santa Clara County,2021,January,01/01/2021,65610000,Educational Services,N,42100
County,Santa Clara County,2021,January,01/01/2021,60540000,"Professional, Scientific and Technical S",N,163700
County,Santa Clara County,2021,January,01/01/2021,55530000,Real Estate and Rental and Leasing,N,14500
County,Santa Clara County,2021,January,01/01/2021,60000000,Professional and Business Services,N,235600
County,Santa Clara County,2021,January,01/01/2021,20000000,Construction,N,48500
County,Santa Clara County,2021,January,01/01/2021,1000000,Total Wage and Salary,N,1042900
County,Santa Clara County,2021,January,01/01/2021,0,Total Nonfarm,N,1040100
County,Santa Clara County,2021,January,01/01/2021,30000000,Manufacturing,N,163100
County,Santa Clara County,2021,January,01/01/2021,10000000,Mining and Logging,N,200
County,Santa Clara County,2021,January,01/01/2021,43000000,"Transportation, Warehousing and Utilitie",N,15900
County,Santa Clara County,2021,January,01/01/2021,41000000,Wholesale Trade,N,27800
County,Santa Clara County,2021,January,01/01/2021,60550000,Management of Companies and Enterprises,N,14600
County,Santa Clara County,2021,January,01/01/2021,55520000,Finance and Insurance,N,23000
