Area Type,Area Name,Year,Month,Date,Series Code,Industry Title,Seasonally Adjusted,Current Employment
County,Santa Cruz County,2022,January,01/01/2022,70710000,"Arts, Entertainment, and Recreation",N,1500
County,Santa Cruz County,2022,January,01/01/2022,80000000,Other Services,N,4500
County,Santa Cruz County,2022,January,01/01/2022,90921611,State Government Education,N,7900
County,Santa Cruz County,2022,January,01/01/2022,32000000,Nondurable Goods,N,3300
County,Santa Cruz County,2022,January,01/01/2022,42000000,Retail Trade,N,10900
County,Santa Cruz County,2022,January,01/01/2022,50000000,Information,N,600
County,Santa Cruz County,2022,January,01/01/2022,65000000,Educational and Health Services,N,17100
County,Santa Cruz County,2022,January,01/01/2022,70000000,Leisure and Hospitality,N,11900
County,Santa Cruz County,2022,January,01/01/2022,90922000,State Government Excluding Education,N,600
County,Santa Cruz County,2022,January,01/01/2022,5000000,Total Private,N,76200
County,Santa Cruz County,2022,January,01/01/2022,6000000,Goods Producing,N,12000
County,Santa Cruz County,2022,January,01/01/2022,11000000,Total Farm,N,3000
County,Santa Cruz County,2022,January,01/01/2022,15000000,"Natural Resources, Mining and Constructi",N,4600
County,Santa Cruz County,2022,January,01/01/2022,7000000,Service Providing,N,86000
County,Santa Cruz County,2022,January,01/01/2022,8000000,Private Service Providing,N,64200
County,Santa Cruz County,2022,January,01/01/2022,55000000,Financial Activities,N,3300
County,Santa Cruz County,2022,January,01/01/2022,90910000,Federal Government,N,500
County,Santa Cruz County,2022,January,01/01/2022,90930000,Local Government,N,12800
County,Santa Cruz County,2022,January,01/01/2022,90932000,Local Government Excluding Education,N,5600
County,Santa Cruz County,2022,January,01/01/2022,1000000,Total Wage and Salary,N,101000
County,Santa Cruz County,2022,January,01/01/2022,31000000,Durable Goods,N,4100
County,Santa Cruz County,2022,January,01/01/2022,40000000,"Trade, Transportation and Utilities",N,16200
County,Santa Cruz County,2022,January,01/01/2022,55530000,Real Estate and Rental and Leasing,N,1400
County,Santa Cruz County,2022,January,01/01/2022,60000000,Professional and Business Services,N,10600
County,Santa Cruz County,2022,January,01/01/2022,90000000,Government,N,21800
County,Santa Cruz County,2022,January,01/01/2022,70720000,Accommodation and Food Service,N,10400
County,Santa Cruz County,2022,January,01/01/2022,0,Total Nonfarm,Y,100200
County,Santa Cruz County,2022,January,01/01/2022,0,Total Nonfarm,N,98000
County,Santa Cruz County,2022,January,01/01/2022,30000000,Manufacturing,N,7400
County,Santa Cruz County,2022,January,01/01/2022,41000000,Wholesale Trade,N,3300
County,Santa Cruz County,2022,January,01/01/2022,43000000,"Transportation, Warehousing and Utilitie",N,2000
County,Santa Cruz County,2022,January,01/01/2022,90932994,Special Districts plus Indian Tribes,N,1100
County,Santa Cruz County,2022,January,01/01/2022,90920000,State Government,N,8500
County,Santa Cruz County,2022,January,01/01/2022,55520000,Finance and Insurance,N,1900
County,Santa Cruz County,2022,January,01/01/2022,90940000,State and Local Government,N,21300
County,Santa Cruz County,2022,February,02/01/2022,5000000,Total Private,N,77000
County,Santa Cruz County,2022,February,02/01/2022,6000000,Goods Producing,N,12300
County,Santa Cruz County,2022,February,02/01/2022,32000000,Nondurable Goods,N,3300
County,Santa Cruz County,2022,February,02/01/2022,42000000,Retail Trade,N,11000
County,Santa Cruz County,2022,February,02/01/2022,50000000,Information,N,600
County,Santa Cruz County,2022,February,02/01/2022,65000000,Educational and Health Services,N,17300
County,Santa Cruz County,2022,February,02/01/2022,70000000,Leisure and Hospitality,N,11900
County,Santa Cruz County,2022,February,02/01/2022,90922000,State Government Excluding Education,N,600
County,Santa Cruz County,2022,February,02/01/2022,70710000,"Arts, Entertainment, and Recreation",N,1500
County,Santa Cruz County,2022,February,02/01/2022,80000000,Other Services,N,4600
County,Santa Cruz County,2022,February,02/01/2022,90921611,State Government Education,N,7900
County,Santa Cruz County,2022,February,02/01/2022,90930000,Local Government,N,12900
County,Santa Cruz County,2022,February,02/01/2022,11000000,Total Farm,N,3200
County,Santa Cruz County,2022,February,02/01/2022,15000000,"Natural Resources, Mining and Constructi",N,4800
County,Santa Cruz County,2022,February,02/01/2022,7000000,Service Providing,N,86600
County,Santa Cruz County,2022,February,02/01/2022,8000000,Private Service Providing,N,64700
County,Santa Cruz County,2022,February,02/01/2022,55000000,Financial Activities,N,3300
County,Santa Cruz County,2022,February,02/01/2022,90910000,Federal Government,N,500
County,Santa Cruz County,2022,February,02/01/2022,90932000,Local Government Excluding Education,N,5800
County,Santa Cruz County,2022,February,02/01/2022,1000000,Total Wage and Salary,N,102100
County,Santa Cruz County,2022,February,02/01/2022,31000000,Durable Goods,N,4200
County,Santa Cruz County,2022,February,02/01/2022,40000000,"Trade, Transportation and Utilities",N,16300
County,Santa Cruz County,2022,February,02/01/2022,90000000,Government,N,21900
County,Santa Cruz County,2022,February,02/01/2022,55530000,Real Estate and Rental and Leasing,N,1400
County,Santa Cruz County,2022,February,02/01/2022,60000000,Professional and Business Services,N,10700
County,Santa Cruz County,2022,February,02/01/2022,70720000,Accommodation and Food Service,N,10400
County,Santa Cruz County,2022,February,02/01/2022,0,Total Nonfarm,N,98900
County,Santa Cruz County,2022,February,02/01/2022,30000000,Manufacturing,N,7500
County,Santa Cruz County,2022,February,02/01/2022,41000000,Wholesale Trade,N,3300
County,Santa Cruz County,2022,February,02/01/2022,43000000,"Transportation, Warehousing and Utilitie",N,2000
County,Santa Cruz County,2022,February,02/01/2022,55520000,Finance and Insurance,N,1900
County,Santa Cruz County,2022,February,02/01/2022,90940000,State and Local Government,N,21400
County,Santa Cruz County,2022,February,02/01/2022,90932994,Special Districts plus Indian Tribes,N,1100
County,Santa Cruz County,2022,February,02/01/2022,90920000,State Government,N,8500
County,Santa Cruz County,2022,February,02/01/2022,0,Total Nonfarm,Y,100100
County,Santa Cruz County,2022,March,03/01/2022,90922000,State Government Excluding Education,N,600
County,Santa Cruz County,2022,March,03/01/2022,5000000,Total Private,N,78000
County,Santa Cruz County,2022,March,03/01/2022,6000000,Goods Producing,N,12500
County,Santa Cruz County,2022,March,03/01/2022,32000000,Nondurable Goods,N,3400
County,Santa Cruz County,2022,March,03/01/2022,42000000,Retail Trade,N,11200
County,Santa Cruz County,2022,March,03/01/2022,50000000,Information,N,600
County,Santa Cruz County,2022,March,03/01/2022,65000000,Educational and Health Services,N,17400
County,Santa Cruz County,2022,March,03/01/2022,70000000,Leisure and Hospitality,N,12300
County,Santa Cruz County,2022,March,03/01/2022,70710000,"Arts, Entertainment, and Recreation",N,1700
County,Santa Cruz County,2022,March,03/01/2022,80000000,Other Services,N,4700
County,Santa Cruz County,2022,March,03/01/2022,90921611,State Government Education,N,7900
County,Santa Cruz County,2022,March,03/01/2022,90930000,Local Government,N,13300
County,Santa Cruz County,2022,March,03/01/2022,11000000,Total Farm,N,3300
County,Santa Cruz County,2022,March,03/01/2022,15000000,"Natural Resources, Mining and Constructi",N,4900
County,Santa Cruz County,2022,March,03/01/2022,7000000,Service Providing,N,87800
County,Santa Cruz County,2022,March,03/01/2022,8000000,Private Service Providing,N,65500
County,Santa Cruz County,2022,March,03/01/2022,90932000,Local Government Excluding Education,N,5800
County,Santa Cruz County,2022,March,03/01/2022,55000000,Financial Activities,N,3300
County,Santa Cruz County,2022,March,03/01/2022,90910000,Federal Government,N,500
County,Santa Cruz County,2022,March,03/01/2022,60000000,Professional and Business Services,N,10700
County,Santa Cruz County,2022,March,03/01/2022,70720000,Accommodation and Food Service,N,10600
County,Santa Cruz County,2022,March,03/01/2022,1000000,Total Wage and Salary,N,103600
County,Santa Cruz County,2022,March,03/01/2022,31000000,Durable Goods,N,4200
County,Santa Cruz County,2022,March,03/01/2022,40000000,"Trade, Transportation and Utilities",N,16500
County,Santa Cruz County,2022,March,03/01/2022,55530000,Real Estate and Rental and Leasing,N,1400
County,Santa Cruz County,2022,March,03/01/2022,90000000,Government,N,22300
County,Santa Cruz County,2022,March,03/01/2022,55520000,Finance and Insurance,N,1900
County,Santa Cruz County,2022,March,03/01/2022,90940000,State and Local Government,N,21800
County,Santa Cruz County,2022,March,03/01/2022,90920000,State Government,N,8500
County,Santa Cruz County,2022,March,03/01/2022,0,Total Nonfarm,N,100300
County,Santa Cruz County,2022,March,03/01/2022,30000000,Manufacturing,N,7600
County,Santa Cruz County,2022,March,03/01/2022,41000000,Wholesale Trade,N,3300
County,Santa Cruz County,2022,March,03/01/2022,43000000,"Transportation, Warehousing and Utilitie",N,2000
County,Santa Cruz County,2022,March,03/01/2022,90932994,Special Districts plus Indian Tribes,N,1100
County,Santa Cruz County,2022,March,03/01/2022,0,Total Nonfarm,Y,100900
County,Santa Cruz County,2022,April,04/01/2022,90922000,State Government Excluding Education,N,700
County,Santa Cruz County,2022,April,04/01/2022,65000000,Educational and Health Services,N,17500
County,Santa Cruz County,2022,April,04/01/2022,70000000,Leisure and Hospitality,N,12700
County,Santa Cruz County,2022,April,04/01/2022,70710000,"Arts, Entertainment, and Recreation",N,1800
County,Santa Cruz County,2022,April,04/01/2022,80000000,Other Services,N,4700
County,Santa Cruz County,2022,April,04/01/2022,90921611,State Government Education,N,8000
County,Santa Cruz County,2022,April,04/01/2022,5000000,Total Private,N,78300
County,Santa Cruz County,2022,April,04/01/2022,6000000,Goods Producing,N,12500
County,Santa Cruz County,2022,April,04/01/2022,32000000,Nondurable Goods,N,3400
County,Santa Cruz County,2022,April,04/01/2022,42000000,Retail Trade,N,11000
County,Santa Cruz County,2022,April,04/01/2022,50000000,Information,N,600
County,Santa Cruz County,2022,April,04/01/2022,11000000,Total Farm,N,4700
County,Santa Cruz County,2022,April,04/01/2022,15000000,"Natural Resources, Mining and Constructi",N,4900
County,Santa Cruz County,2022,April,04/01/2022,7000000,Service Providing,N,88300
County,Santa Cruz County,2022,April,04/01/2022,8000000,Private Service Providing,N,65800
County,Santa Cruz County,2022,April,04/01/2022,55000000,Financial Activities,N,3300
County,Santa Cruz County,2022,April,04/01/2022,90910000,Federal Government,N,500
County,Santa Cruz County,2022,April,04/01/2022,90932000,Local Government Excluding Education,N,5700
County,Santa Cruz County,2022,April,04/01/2022,90930000,Local Government,N,13300
County,Santa Cruz County,2022,April,04/01/2022,1000000,Total Wage and Salary,N,105500
County,Santa Cruz County,2022,April,04/01/2022,31000000,Durable Goods,N,4200
County,Santa Cruz County,2022,April,04/01/2022,40000000,"Trade, Transportation and Utilities",N,16300
County,Santa Cruz County,2022,April,04/01/2022,55530000,Real Estate and Rental and Leasing,N,1400
County,Santa Cruz County,2022,April,04/01/2022,60000000,Professional and Business Services,N,10700
County,Santa Cruz County,2022,April,04/01/2022,90000000,Government,N,22500
County,Santa Cruz County,2022,April,04/01/2022,70720000,Accommodation and Food Service,N,10900
County,Santa Cruz County,2022,April,04/01/2022,0,Total Nonfarm,N,100800
County,Santa Cruz County,2022,April,04/01/2022,30000000,Manufacturing,N,7600
County,Santa Cruz County,2022,April,04/01/2022,41000000,Wholesale Trade,N,3300
County,Santa Cruz County,2022,April,04/01/2022,43000000,"Transportation, Warehousing and Utilitie",N,2000
County,Santa Cruz County,2022,April,04/01/2022,55520000,Finance and Insurance,N,1900
County,Santa Cruz County,2022,April,04/01/2022,90940000,State and Local Government,N,22000
County,Santa Cruz County,2022,April,04/01/2022,90920000,State Government,N,8700
County,Santa Cruz County,2022,April,04/01/2022,90932994,Special Districts plus Indian Tribes,N,1100
County,Santa Cruz County,2022,April,04/01/2022,0,Total Nonfarm,Y,100500
County,Santa Cruz County,2022,May,05/01/2022,5000000,Total Private,N,78500
County,Santa Cruz County,2022,May,05/01/2022,6000000,Goods Producing,N,12500
County,Santa Cruz County,2022,May,05/01/2022,32000000,Nondurable Goods,N,3400
County,Santa Cruz County,2022,May,05/01/2022,42000000,Retail Trade,N,10900
County,Santa Cruz County,2022,May,05/01/2022,50000000,Information,N,600
County,Santa Cruz County,2022,May,05/01/2022,65000000,Educational and Health Services,N,17400
County,Santa Cruz County,2022,May,05/01/2022,70000000,Leisure and Hospitality,N,13000
County,Santa Cruz County,2022,May,05/01/2022,70710000,"Arts, Entertainment, and Recreation",N,1900
County,Santa Cruz County,2022,May,05/01/2022,80000000,Other Services,N,4800
County,Santa Cruz County,2022,May,05/01/2022,90922000,State Government Excluding Education,N,700
County,Santa Cruz County,2022,May,05/01/2022,90921611,State Government Education,N,8000
County,Santa Cruz County,2022,May,05/01/2022,11000000,Total Farm,N,7200
County,Santa Cruz County,2022,May,05/01/2022,15000000,"Natural Resources, Mining and Constructi",N,4900
