County,Age Range,Pop,Percent of Pop.,Percent White,Percent Nonwhite
San Benito,Total,61457,100.00,33.4,67.6
San Benito,20-34 y/o,12564,20.44,,
San Benito,35-54 y/o,16232,26.41,,
San Benito,65+ y/o,7812,12.71,,
Alameda,Total,1661584,100.00,30.6,69.4
Alameda,20-34 y/o,375841,22.62,,
Alameda,35-54 y/o,472342,28.43,,
Alameda,65+ y/o,231186,13.91,,
Santa Cruz,Total,273170,100.00,56.9,43.1
Santa Cruz,20-34 y/o,60375,22.10,,
Santa Cruz,35-54 y/o,65213,23.87,,
Santa Cruz,65+ y/o,44913,16.44,,
Santa Clara,Total,1885508,100,50.5,49.5
Santa Clara,20-39 y/o,554700,29.42,,
Santa Clara,40-59 y/o,509404,27.02,,
Santa Clara,70+ y/o,184241,9.77,,
